Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1988,2.495,2.475,2.406,2.43,2.457,2.432,2.443,2.442,2.446,2.489,2.471,2.536
1989,2.547,2.56,2.595,2.607,2.591,2.589,2.566,2.614,2.595,2.639,2.629,2.667
1990,2.719,2.656,2.569,2.589,2.585,2.586,2.576,2.634,2.614,2.613,2.574,2.54
1991,2.546,2.522,2.561,2.521,2.561,2.585,2.592,2.605,2.621,2.594,2.588,2.632
1992,2.631,2.638,2.546,2.628,2.577,2.599,2.562,2.615,2.583,2.603,2.531,2.489
1993,2.567,2.551,2.563,2.509,2.411,2.528,2.432,2.548,2.497,2.61,2.596,2.591
1994,2.532,2.515,2.581,2.636,2.638,2.624,2.665,2.646,2.663,2.709,2.683,2.617
1995,2.659,2.55,2.686,2.629,2.634,2.649,2.665,2.667,2.683,2.735,2.61,2.675
1996,2.665,2.673,2.752,2.728,2.825,2.827,2.851,2.966,3.041,3.077,2.978,2.94
1997,2.947,2.928,2.92,2.903,2.876,2.877,2.844,2.927,2.895,2.925,2.928,3.022
1998,3.041,2.996,2.969,3.06,2.995,3.051,3.133,3.147,3.184,3.272,3.373,3.301
1999,3.379,3.291,3.231,3.266,3.195,3.306,3.238,3.25,3.28,3.38,3.336,3.404
2000,3.324,3.34,3.275,3.338,3.347,3.546,3.461,3.542,3.586,3.62,3.32,3.66
2001,3.673,3.609,3.66,3.651,3.633,3.703,3.72,3.841,3.815,3.824,3.463,3.836
2002,3.425,3.81,3.819,3.723,3.8,3.752,3.883,3.783,3.896,3.336,3.816,3.757
2003,3.752,3.788,3.852,3.296,3.739,3.806,3.965,3.976,3.892,3.878,3.858,3.898
2004,3.692,3.808,3.648,3.815,3.744,3.877,4.026,4.051,3.968,3.79,3.777,3.849
2005,3.873,3.79,3.654,3.772,3.948,3.619,3.773,3.796,3.784,3.705,3.514,3.691
2006,3.703,3.766,3.782,3.622,3.674,3.861,3.627,3.602,3.717,3.855,3.875,3.901
2007,4.032,4.019,3.969,3.794,3.876,3.879,3.825,3.895,3.897,3.942,4.225,4.081
2008,4.14,4.041,4.095,4.204,4.076,4.068,4.169,4.249,4.418,4.401,4.397,4.281
2009,4.441,4.349,4.165,4.368,4.282,4.25,4.193,4.279,4.244,4.623,4.431,4.234
2010,4.483,4.388,4.313,4.445,4.563,4.528,4.432,4.421,4.325,4.602,4.49,4.584
2011,4.74,4.99,4.923,4.877,4.614,4.854,4.862,4.792,4.805,5.209,5.218,5.251
2012,5.29,5.03,5.09,5.206,5.048,4.896,4.929,4.846,4.893,5.128,5.036,5.102
2013,5.263,5.184,5.089,5.093,4.831,5.005,4.84,5.034,4.795,4.945,4.885,4.975
2014,5.022,4.979,4.842,5.011,4.911,4.691,4.719,4.751,4.987,4.884,4.863,5.041
2015,5.089,4.955,4.889,4.791,4.696,4.62,4.466,4.597,4.791,4.626,4.684,4.725
2016,4.913,4.851,4.85,4.915,4.801,4.71,4.691,4.71,4.695,4.712,4.615,4.682
2017,4.834,4.87,4.751,4.659,4.631,4.629,4.606,4.688,4.648,4.683,4.567,4.758
2018,4.786,4.67,4.825,4.709,4.588,4.656,4.75,4.662,4.754,4.864,4.786,4.812
2019,4.912,4.981,4.791,4.821,4.85,4.633,4.674,4.682,4.802,4.94,4.935,4.74
2020,4.824,4.884,4.918,4.941,4.934,5.088,4.898,4.95,4.944,4.925,4.846,4.927
2021,5.014,4.937,4.949,4.978,4.685,4.886,4.943,4.918,4.9,4.952,4.77,4.766
2022,4.993,5.048,5.059,5.129,5.352,5.536,5.621,5.638,5.701,5.745,5.724,5.561
2023,5.809,5.722,5.92,5.95,5.807,5.812,5.845,5.904,5.959,6.041,6.014,6.015
2024,5.903,5.885,5.733,6.196,6,6.137,6.03,6.357,6.338,6.295,6.447,6.27
